"","barcode","Genotype","line","compartment","plant_height","branch_number","pod_weight_plant","main","pods_plant","pods_branch","weight_pod","first_flowers_DAS","peak_flowers_DAS","flowering_days_to_peak","total_flowering_days","pixel.day_peak","pixel.days_to_peak","total_pixel.days","mean_pixel.days_to_peak","R01_raceme_start","R02_mean_rate","R03_max_rate","R04_DAS_of_max_rate","R05_main_ext_period","R06_50ht_period","R07_75ht_period","R08_50ht_rate","R09_75ht_rate","R10_max_height","R11_max_height_DAS","R12_extension_days_to_max","seed wt_10p_g","seeds_per_pod","TGW_g","BBCH51","BBCH61"
"75","BR024-12113","N5","L5","C5",113,10,50.7,37,482,44,0.105186722,47,59,13,43,35985,206816,451138,15908.92308,43.27320602,27.78056327,109.0012616,45.27318287,29.67182458,5.49099568,15.62495081,84.04668786,44.04813867,1207,89.27332176,46.00011574,5161,10,5.16,35,47
"76","BR024-12114","N5","L7","C5",100,6,52.5,NA,NA,NA,NA,47,61,15,52,33894,192500,447767,12833.33333,44.39033565,29.97539358,88.97940292,46.39039352,24.68357915,7.327608631,14.78026223,56.1574752,41.72794708,1121,79.38925926,34.99892361,5665,15,3.85,35,48
"77","BR024-12215","N5","L1","C6",114,6,51.2,NA,NA,NA,NA,47,60,14,44,26399,188495,346172,13463.92857,42.52798611,31.65026184,97.98865872,44.52826389,26.84653935,7.577959346,20.21141226,64.99111139,35.41316118,1193,81.52795139,38.99996528,4810,9,5.23,35,46
"78","BR024-12216","N5","L2","C6",118,12,52.3,53,462,36,0.113203463,48,59,12,20,32804,157409,332801,13117.41667,43.59737269,38.64543439,96.00333345,46.5975,24.23313426,8.974628762,15.55116217,61.33958458,50.91259362,1265,89.59711806,45.99974537,4977,11,4.4,39,50
"79","BR024-12217","N5","L4","C6",93,10,59.2,79,520,47,0.113846154,46,57,12,37,36624,159347,363165,13278.91667,43.70962963,46.91811388,105.0072922,44.70956019,13.64718116,4.669654741,9.276416584,77.41471694,57.75398239,997,102.709537,58.99990741,5129,10,4.98,38,49
"80","BR024-12218","N5","L5","C6",110,6,54,NA,NA,NA,NA,45,58,14,23,32938,240054,397857.5,17146.71429,41.78405093,29.48850759,109.9961807,44.78396991,27.52258647,5.936802662,16.02532651,76.47213927,42.27682971,1194,75.78353009,33.99947917,5212,11,4.78,36,46
"81","BR024-13111","N6","L1","C5",120,9,60.1,NA,NA,NA,NA,53,68,16,34,36117,220581,470012,13786.3125,51.0178588,41.65524445,100.998831,52.01787037,21.74996238,8.804887364,15.76390866,57.92237639,48.05280316,1290,82.01788194,31.00002315,5323,14,3.75,46,55
"82","BR024-13112","N6","L2","C5",110,12,67.1,92,489,38,0.137218814,53,67,15,31,41035,280163,544032,18677.53333,49.0991088,45.48628534,115.0066555,53.09914352,17.54594806,6.170728114,12.39165104,74.3024148,54.12918728,1149,79.09944444,30.00033565,4802,15,3.31,42,53
"83","BR024-13113","N6","L4","C5",141,12,53.9,42,535,41,0.100747664,54,67,14,35,42710,240496,568719,17178.28571,51.20472222,48.50295128,164.0227809,54.20459491,22.6501681,8.854247685,16.0539527,70.58758939,57.36904905,1484,85.20702546,34.00230324,6428,20,3.21,46,55
"84","BR024-13114","N6","L5","C5",103,10,54.2,17,458,42,0.118340611,55,69,15,33,55392,252682,658603.5,16845.46667,51.29739583,31.45443197,93.98585861,53.29747685,23.1922802,10.53576472,16.80993819,39.81675857,36.48139529,1075,85.29753472,34.00013889,5000,13,3.76,47,55
"85","BR024-13215","N6","L1","C6",118,9,49.6,NA,NA,NA,NA,54,67,14,35,32172,178335,435782.5,12738.21429,51.51407407,46.47223169,116.9891677,53.51421296,18.804778,7.081427918,13.29469256,69.68933466,55.00315231,1251,81.51418981,30.00011574,5670,17,3.44,46,56
"86","BR024-13216","N6","L3","C6",112,9,56.4,26,466,47,0.121030043,52,67,16,31,36622,259552,462330,16222,49.65634259,39.2166556,135.9921301,52.65641204,19.72121254,5.528374607,11.2895745,78.68497179,57.26522288,1146,75.65659722,26.00025463,6105,18,3.32,43,54
"87","BR024-13217","N6","L4","C6",127,11,61.1,36,511,43,0.119569472,51,65,15,32,44369,255972,535751.5,17064.8,48.71125,50.63698732,130.9863556,50.71106481,18.69976968,6.798472072,12.94835044,79.79734185,61.41708967,1311,78.71133102,30.00008102,5849,17,3.44,43,53
"88","BR024-13218","N6","L7","C6",113,8,51.9,NA,NA,NA,NA,49,65,17,33,31258,242137,494230,14243.35294,47.8708912,46.727539,100.0370508,49.87009259,20.5574704,8.097356312,14.65350566,69.52886576,55.37923954,1294,77.87164352,30.00075231,5562,18,3.14,41,50
"89","BR024-14111","N1","L5","C5",145,11,39.6,NA,NA,NA,NA,56,68,13,50,33059,131014,511376,10078,51.01895833,42.62125215,79.99444483,54.01900463,28.16669946,11.39741735,20.55146182,60.23294392,49.03544131,1585,95.01908565,44.00012731,6844,16,4.3,44,57
"90","BR024-14112","N1","L7","C5",110,10,56.4,NA,NA,NA,NA,56,72,17,40,35635,254171,488183,14951.23529,52.1096875,33.69595711,70,54.10961806,25.13654672,9.314175595,17.78261171,52.28589423,40.03911301,1200,89.11,37.0003125,5401,17,3.16,46,57
"91","BR024-14113","N1","L1","C6",132,13,35.9,6,368,26,0.097554348,56,76,21,49,29548,347125.5,538355.5,16529.78571,51.27876157,37.3577045,79.99074181,53.27884259,27.15637948,11.23179807,19.95542297,51.68362146,42.68263325,1385,92.27892361,41.00016204,4493,12,3.74,46,57
"92","BR024-14114","N1","L3","C6",121,11,47.1,6,512,43,0.091992188,58,75,18,40,30990,228835,412811.5,12713.05556,53.38171296,36.97744482,72.00166671,55.38133102,23.73068243,10.39055827,17.50888476,46.91759455,41.76451043,1275,89.38168981,35.99997685,4915,17,2.91,48,62
"93","BR024-14215","N1","L4","C6",126,11,38.8,48,447,37,0.086800895,58,77,20,47,25740,232475,396283,11623.75,53.52569444,27.99109911,75.00868156,54.5255787,37.4047477,11.17140179,21.55078115,53.26099727,40.7177816,1430,101.5825347,48.05684028,5490,16,3.37,48,60
"94","BR024-14216","N1","L7","C6",100,11,49.6,NA,NA,NA,NA,56,67,12,49,24480,110960,371015.5,9246.666667,52.65090278,30.96932852,72.02250703,53.65059028,22.28333752,7.619982407,15.74987269,49.67203069,36.39711961,1079,86.65078704,33.99988426,4224,15,2.89,46,55
"95","BR024-14217","N1","L1","C5",111,13,39.2,25,436,31,0.089908257,57,74,18,48,30585,228107.5,457309.5,12672.63889,54.71982639,28.45489317,69.9910891,54.71982639,25.34186285,8.203741641,16.57252857,46.99075335,35.91787441,1139,100.7198264,46,5867,16,3.79,47,58
"96","BR024-14218","N1","L2","C5",98,12,35.1,NA,NA,NA,NA,57,76,20,48,22695,210820,363854,10541,54.87138889,25.11894067,67.003102,54.87138889,24.65072106,7.539748932,16.25456887,42.97225318,31.28351199,1038,103.8721412,49.00075231,4814,13,3.73,46,59
"97","BR024-15111","N4","L1","C5",110,5,17.5,NA,NA,NA,NA,77,97,21,29,9505,66612.5,103807.5,3172.02381,70.02055556,30.51688153,58,70.02055556,22.63337423,9.267461913,15.21251577,40.73391437,37.68278756,1083,102.0205787,32.00002315,191,2,0.87,64,75
"98","BR024-15112","N4","L2","C5",113,8,37,NA,NA,NA,NA,46,62,17,34,30294,216895,404307.5,12758.52941,43.09480324,33.36416497,76.98930704,46.09505787,22.57811639,6.261254472,11.59379232,67.47849044,54.27473451,1127,77.09498843,34.00018519,1949,17,1.13,36,46
"99","BR024-15113","N4","L4","C5",62,9,39.1,37,488,49,0.080122951,58,75,18,28,17141,120457.5,172276,6692.083333,55.21287037,24.33013342,47.9966669,55.21287037,19.03400989,6.694343493,15.76045778,34.58143435,23.87303753,879,81.21296296,26.00009259,3076,11,2.77,42,57
"100","BR024-16111","N7","L6","C5",118,7,29.7,60,308,39,0.096428571,66,83,18,39,17115,119949,239086,6663.833333,63.32868056,33.58449955,70.98685429,67.32869213,28.53995185,7.815134737,20.16416224,66.08971148,39.31479973,1405,95.32884259,32.00016204,6225,26,2.39,55,67
"101","BR024-16112","N7","L2","C5",118,10,41.6,NA,NA,NA,NA,61,72,12,39,21383,109065,266254.5,9088.75,55.10430556,30.85153277,67.00155096,59.10422454,27.1137258,7.264000331,14.11818896,61.46750821,48.89083167,1275,103.1042708,47.99996528,5599,22,2.55,50,63
"102","BR024-16113","N7","L4","C5",97,5,11.1,53,137,23,0.081021898,75,95,21,30,3830,24967.5,45033,1188.928571,71.21950231,30.84235735,53.01104397,78.21949074,22.54367239,11.1787996,17.20542958,37.25802544,34.33509155,997,104.2226042,33.00310185,5938,19,3.21,56,NA
"103","BR024-16114","N7","L5","C5",116,6,9.5,NA,NA,NA,NA,79,95,17,26,7433,55540.5,109950.5,3267.088235,76.29858796,35.97138334,49.99826395,78.29868056,23.05999722,8.988140845,16.78986644,49.34279598,40.78352872,1265,104.2983333,27.99974537,6258,17,3.77,64,NA
"104","BR024-16215","N7","L2","C6",117,6,26.4,NA,NA,NA,NA,67,83,17,31,16926,136243.5,215113.5,8014.323529,63.58108796,45.54402248,84.99114676,67.58126157,18.90039468,6.16691358,12.70388632,76.53747598,56.28198979,1272,93.58136574,30.00027778,4375,20,2.24,57,70
"105","BR024-16216","N7","L2","C6",106,4,9.1,NA,NA,NA,NA,74,95,22,31,4608,40624.5,59476.5,1846.568182,74.66605324,31.37965768,47.99611143,77.60327546,21.60954102,8.452078908,15.23976288,41.94234387,36.53272064,1109,103.6034028,28.93734954,7985,23,3.44,64,NA
"106","BR024-16217","N7","L4","C6",105,5,11.4,29,126,21,0.09047619,69,94,26,36,3506,28798.5,46931.5,1107.634615,69.72472222,23.40734374,48.99376237,70.72484954,26.92744665,10.25882563,18.29370635,33.4833647,28.5754013,1017,104.7248032,35.00008102,6970,21,3.37,55,70
"107","BR024-16218","N7","L7","C6",108,6,19.8,54,167,24,0.118562874,69,84,16,35,6329,41461,84468,2591.3125,65.88993056,40.09981969,65.96335369,68.89069444,16.28935005,5.885332158,11.43397917,58.7902247,47.05273572,1068,99.89690972,34.00697917,6878,28,2.49,53,72
"108","BR024-17111","R204","L1","C5",180,4,35.2,75,233,47,0.151072961,49,65,17,46,22450,206216,496550.5,12130.35294,47.02190972,47.16086623,81.00093751,51.02164352,30.77975694,13.51896924,22.52539797,60.8034522,53.96131077,1874,94.02171296,46.99980324,3825,6,6.71,39,50
"109","BR024-17112","R204","L3","C5",170,4,42.6,NA,NA,NA,NA,54,67,14,37,28669,183234,459797.5,13088.14286,51.15287037,53.05705,95.99666678,55.15292824,26.52239429,12.27587963,19.88789234,64.51676164,59.15659538,1838,100.1585417,49.0056713,5766,12,4.65,41,55
"110","BR024-17113","R204","L5","C5",181,3,32,34,177,44,0.18079096,50,65,16,48,27488,238738,550601,14921.125,48.27972222,50.1522143,81.98576636,51.27987269,28.52715518,12.26845872,21.08780679,65.00409043,56.58483179,1883,92.28003472,44.0003125,8851,12,7.25,40,50
"111","BR024-17114","R204","L5","C5",194,3,29.9,NA,NA,NA,NA,50,66,17,48,29186,251610,594643.5,14800.58824,49.29951389,48.68214582,92.00532438,52.29953704,31.87616269,13.19625,23.54066778,64.48801743,54.75630565,2052,89.29972222,40.00020833,5997,8,7.69,40,53
"112","BR024-17215","R204","L1","C6",165,3,31.7,NA,NA,NA,NA,50,67,18,50,32311,295851,617839,16436.16667,48.53163194,47.19072092,85.00491927,51.53152778,27.4142877,11.51053759,20.40180194,62.94232517,52.94875439,1723,95.53178241,47.00015046,4959,8,6.28,39,50
"113","BR024-17216","R204","L3","C6",210,3,43.9,NA,NA,NA,NA,49,65,17,56,25815,231457,585714,13615.11765,47.64010417,51.65244809,101.9964585,51.64015046,29.55716634,12.51821738,21.18386395,68.18063419,60.15191576,1983,90.64015046,43.0000463,6325,9,7.03,41,50
"114","BR024-17217","R204","L5","C6",172,3,33.6,23,206,52,0.163106796,50,65,16,38,17671,144759,371101.5,9047.4375,49.76201389,50.67215498,110.0140064,52.76200231,27.65424128,11.03111943,19.31650837,72.02351539,60.76408724,1817,91.87965278,42.11763889,5469,11,5.16,41,53
"115","BR024-17218","R204","L7","C6",162,5,40.2,77,297,50,0.135353535,53,67,15,52,27850,207289,526994.5,13819.26667,50.87628472,44.95475264,78.00451415,54.87579861,28.49309416,10.94018997,18.93574884,65.85808854,56.546483,1701,104.8764005,54.00011574,4139,9,4.7,46,55
"116","BR024-18111","R103","L6","C5",167,7,43.6,NA,NA,NA,NA,57,67,11,48,57883,290166,871011,26378.72727,52.32947917,50.11793544,106.9975232,55.32949074,27.97601273,11.32432281,19.53199912,71.21838662,60.34968528,1789,103.3296875,51.00020833,7616,14,5.52,46,59
"117","BR024-18112","R103","L3","C5",152,7,1,NA,NA,NA,NA,69,81,13,36,37023,193000,695901,14846.15385,62.1716088,37.38332024,71.00575278,66.17158565,28.58226592,9.512764068,19.15485271,62.91546765,46.58088546,1475,104.177581,42.00597222,0,0,NA,57,73
"118","BR024-18113","R103","L4","C5",133,8,31.4,31,244,27,0.128688525,60,71,12,35,55234,282822,750513.5,23568.5,57.20803241,44.41257945,86.98590506,59.20813657,22.29323341,8.22982154,15.72778356,65.91880484,52.2800938,1419,99.21068287,42.00265046,4475,8,5.33,50,61
"119","BR024-18114","R103","L7","C5",153,9,30.1,43,170,17,0.177058824,58,71,14,47,56329,349312,880921,24950.85714,55.37864583,40.95229557,78.94700317,59.37905093,30.34750513,11.58368634,19.80290863,60.94778287,52.59328411,1642,100.3793519,45.00070602,4628,7,6.34,46,61
"120","BR024-18215","R103","L1","C6",159,7,28.6,56,229,29,0.12489083,59,72,14,46,61163,417069,849183.5,29790.64286,55.50857639,36.12894618,79.7332995,57.51188657,35.17678024,11.65689679,19.86489762,59.57846352,53.09617095,1741,92.51802083,37.00944444,5076,8,6.19,48,60
"121","BR024-18216","R103","L3","C6",152,8,15.6,NA,NA,NA,NA,61,75,15,44,50845,343457.5,1064290.5,22897.16667,58.66141204,45.5080526,82,61.66135417,22.58501389,8.999664352,16.28653524,63.44681064,52.58945424,1442,93.66130787,34.99989583,1773,4,4.93,50,64
"122","BR024-18217","R103","L5","C6",160,10,15.3,38,166,15,0.092168675,56,67,12,49,56597,335656,1073307.5,27971.33333,53.76030093,44.71204824,93.96845966,55.76097222,27.02403597,10.39336888,18.15381149,65.57065449,55.6770131,1617,91.87825231,38.11795139,2720,6,4.77,46,57
"123","BR024-18218","R103","L7","C6",164,7,7.2,NA,NA,NA,NA,63,77,15,42,32824,271815.5,786355.5,18121.03333,59.85821759,51.16138424,84.09148842,63.85803241,21.80941772,9.039081197,15.76178451,68.92293436,59.06691589,1532,91.82642361,31.96820602,1660,5,3.46,53,65
"124","BR024-19111","R102","L1","C5",113,13,13.6,NA,NA,NA,NA,65,75,11,41,71388,270759.5,776973.5,24614.5,61.02274306,48.04434962,71.99916668,63.02274306,17.45886887,8.428606151,13.54945952,55.76248215,51.69947917,1222,89.0228125,28.00006944,2407,4,5.6,53,66
"125","BR024-19112","R102","L3","C5",135,12,20,NA,NA,NA,NA,62,75,14,28,59508,348314.5,688179.5,24879.60714,56.15715278,50.99060641,78.00812585,59.15717593,20.96464575,10.02100887,16.23103191,60.37316279,55.1412877,1460,89.15740741,33.00025463,2669,6,4.68,50,63
"126","BR024-19113","R102","L4","C5",155,9,25.3,34,230,23,0.11,63,75,13,42,54285,328265.5,724887,25251.19231,59.20971065,43.47694796,81.01312713,62.20939815,28.72096729,11.6758314,19.30816599,59.56749253,53.92795983,1683,102.2131019,43.0033912,4112,5,7.61,50,64
"127","BR024-19114","R102","L5","C5",172,11,4.2,20,67,6,0.062686567,63,75,13,42,59127,278267,938730,21405.15385,61.28916667,42.00702481,59.00478048,63.28921296,26.07897143,11.88301138,19.57974026,50.61848218,46.48938074,1535,93.2890625,31.99989583,1053,3,3.1,50,66
"128","BR024-19215","R102","L1","C6",148,13,0.2,NA,NA,NA,NA,66,79,14,39,38065,227503,686151,16250.21429,63.51736111,34.27517129,55.99870373,65.51746528,29.59284992,10.95246629,20.08627634,49.98874093,41.78225898,1467,99.54427083,36.02690972,301,2,6.02,53,68
"129","BR024-19216","R102","L3","C6",136,11,14.8,41,179,15,0.082681564,62,74,13,27,55279,345649,736896.5,26588.38462,59.64262731,32.99324283,77,61.64266204,29.26659877,10.24510039,17.07565762,51.53683029,46.93816296,1394,104.6426505,45.00002315,2371,5,4.74,52,64
"130","BR024-19217","R102","L5","C6",183,8,29.3,37,235,26,0.124680851,60,70,11,45,54568,296203,788594.5,26927.54545,56.76846065,50.72431292,86.01991202,58.76802083,23.34777805,9.888024525,17.2097486,65.68551669,57.16236901,1637,89.76834491,32.99988426,5741,8,7,48,62
"131","BR024-19218","R102","L7","C6",150,9,0,NA,NA,NA,NA,69,102,34,36,22004,337338,378933,9921.705882,66.87359954,29.95191333,71.94088191,70.87377315,31.6307005,10.14791967,24.44729812,52.12891088,32.33486155,1346,104.8731019,37.99950231,NA,NA,NA,58,72
"132","BR024-20111","J1C1","L1","C5",99,8,28.2,NA,NA,NA,NA,56,72,17,32,3135,18130,28875,1066.470588,46.02421296,30.81867628,106.0368183,48.02384259,21.58431446,10.93966505,17.74968461,34.5531603,31.4090088,1018,92.02391204,45.99969907,3040,12,2.53,40,57
"133","BR024-20112","J1C1","L3","C5",100,7,32.2,NA,NA,NA,NA,57,68,12,36,3685,17730,54094,1477.5,46.16266204,22.98541502,112.0544709,48.16211806,31.89413805,11.2041814,19.8210148,37.6198836,31.09073911,1079,88.16236111,41.99969907,2979,12,2.42,41,50
"134","BR024-20113","J1C1","L4","C5",94,9,26.3,NA,472,47,0.055720339,58,67,10,31,2555,6845,23070,684.5,49.20597222,14.52694083,110.9897232,49.20597222,28.16835319,12.23975278,18.28817508,11.27473753,16.81414349,978,85.208125,36.00215278,2885,11,2.58,41,50
"135","BR024-20114","J1C1","L5","C5",65,5,18.5,NA,369,62,0.050135501,60,75,16,34,1300,7385,15755,461.5625,55.29032407,14.02160713,29.00671452,57.29016204,23.05013947,11.909133,17.40000174,14.44269705,15.31609043,678,97.29046296,42.00013889,3014,10,3.17,41,52
"136","BR024-20215","J1C1","L1","C6",98,7,26.1,NA,NA,NA,NA,57,72,16,23,4080,39975,46290,2498.4375,47.52149306,29.46495837,93.02584051,48.52121528,22.9187495,10.09993168,17.78652829,36.8814376,31.58289189,1057,85.52122685,37.9997338,3826,15,2.48,40,51
"137","BR024-20216","J1C1","L2","C6",102,8,32.6,NA,616,68,0.052922078,55,71,17,28,4185,43365,58227.5,2550.882353,45.613125,30.19083739,95.05500869,47.6124537,21.71519761,10.37854127,17.3786598,34.49425028,31.30275903,1044,83.61275463,37.99962963,3108,14,2.17,40,50
"138","BR024-20217","J1C1","L5","C6",83,6,18.8,NA,402,57,0.046766169,66,72,7,24,1325,4070,16038,581.4285714,55.77765046,21.68899347,64.95864901,61.7778125,23.59261165,7.912416667,11.97240934,36.20891215,35.6862172,863,92.77783565,37.00018519,2633,13,2.07,40,60
"139","BR024-20218","J1C1","L7","C6",103,10,42.4,NA,NA,NA,NA,50,67,18,30,11240,83310,131257,4628.333333,46.85891204,31.66260785,88.03668195,48.8562963,20.35524058,4.633353257,11.24061036,75.64715672,47.52855786,1035,84.85680556,37.99789352,3501,14,2.5,41,51
"140","BR024-21111","J1C2","L1","C5",146,14,8.6,70,209,14,0.041148325,62,71,10,44,15240,48967,123757,4896.7,54.02503472,32.921938,88.99793986,58.02501157,37.02090685,8.989415692,19.14993229,77.20190319,53.36833491,1612,92.02503472,38,1942,6,3.53,53,66
"141","BR024-21112","J1C2","L3","C5",125,16,5.4,128,140,8,0.038571429,61,104,44,44,3650,33957,33957,771.75,53.14112269,71.70013701,91.99680567,55.14135417,14.08504979,6.615900872,10.99573018,84.87128372,76.55244227,1421,97.14715278,44.00603009,869,12,0.76,50,64
"142","BR024-21113","J1C2","L4","C5",129,21,1.7,NA,NA,NA,NA,61,97,37,44,2215,13120,25215,354.5945946,53.21074074,36.31624507,96.0111124,56.21054398,24.55650352,5.951281052,9.528664307,83.84749361,78.13267169,1282,103.2132176,50.00247685,751,6,1.21,50,67
"143","BR024-21114","J1C2","L7","C5",80,22,0,NA,NA,NA,NA,85,88,4,8,305,835,1347.5,208.75,54.38798611,73.25717065,88.04279858,58.38769676,7.077805427,4.083102816,6.029100116,74.5756386,72.68912302,835,63.38840278,9.000416667,NA,NA,NA,53,61
"144","BR024-21215","J1C2","L2","C6",123,24,0.4,NA,NA,NA,NA,59,65,7,13,785,3400,4840,485.7142857,52.58440972,62.51071553,95.01649592,55.58436343,14.78626492,5.838415884,10.58338927,88.63705675,72.9208744,1317,101.6289005,49.04449074,309,3,1.72,50,NA
"145","BR024-21216","J1C2","L2","C6",122,6,9.2,48,167,24,0.05508982,61,70,10,15,2380,9271,33738.5,927.1,53.59590278,41.4324545,94.00870451,57.5959375,22.70201009,6.970697508,18.0701338,77.32368237,43.71854735,1304,104.5961458,51.00024306,2498,8,3.16,52,67
"146","BR024-21217","J1C2","L5","C6",135,5,4.6,48,113,19,0.040707965,60,101,42,45,11600,113286.5,138201.5,2697.297619,52.7609375,52.82372159,101.9657754,55.7612963,19.09558754,7.115653935,11.76979836,79.75373805,71.64523759,1403,91.87857639,39.11763889,1922,6,3.1,50,64
"147","BR024-21218","J1C2","L7","C6",122,22,1.5,NA,NA,NA,NA,59,61,3,11,545,870,2792.5,290,52.86914352,25.8388533,92.00425946,54.86918981,37.67969069,7.700177083,14.39838393,72.7256002,56.8466575,1334,100.8690394,47.99989583,605,4,2.42,50,65
"148","BR024-22111","N5C2J1_PH22","L6","C5",205,8,1.5,60,421,47,0.003562945,70,88,19,35,23781,237802.5,440503.5,12515.92105,61.33064815,78.02136936,145.0218204,68.33075231,20.71355596,8.844086022,15.57922117,101.8194529,86.50945933,2089,88.33112269,27.00047454,2597,9,2.92,64,75
"149","BR024-22112","N5C2J1_PH22","L3","C5",215,12,18.7,NA,NA,NA,NA,75,89,15,30,17816,157220,281458,10481.33333,63.16115741,69.64028118,119.9902786,67.16121528,22.97664474,9.347666292,16.93826901,94.62254774,78.62373654,2089,93.16717593,30.00601852,2105,8,2.7,60,NA
"150","BR024-22113","N5C2J1_PH22","L5","C5",184,9,25.6,NA,NA,NA,NA,66,80,15,39,26265,164276,508005.5,10951.73333,58.26600694,68.7632,115.0106491,63.26614583,21.76309421,9.291804591,15.88026442,89.81032606,78.6038549,1955,95.26622685,37.00021991,2336,9,2.49,55,68
